smiles,aizynthfinder_score,aizynthfinder_state_score
C=CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,1.0,0.9559601461011058
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.0,0.6392934794344391
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cc(F)c(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1,1.0,0.9508993104981045
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.0,0.6392934794344391
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c1,1.0,0.9508993104981045
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,0.0,0.7148712936588782
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.0,0.7623712936588783
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CSCCC(=O)O)C(=O)O)cc1,0.0,0.7148712936588782
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(C(=O)O)C(C)CC(=O)O)cc3)cc2c(=O)[nH]1,0.0,0.6357046269922116
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1,1.0,0.975
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CC(=O)NCC(=O)O)C(=O)O)cc1,0.0,0.7133993104981045
C#CCN(Cc1cc(Cl)c2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.0,0.7184601461011058
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc3)cc2c(=O)[nH]1,0.0,0.5759601461011058
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,0.0,0.7184601461011058
Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,0.0,0.794037960325545
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)c1,0.0,0.7184601461011058
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)C(=O)NC(CSCC(N)=O)c1cccc([N+](=O)[O-])c1,0.0,0.794037960325545
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](c2nc(C)cs2)C(C)C)cc1,1.0,0.975
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](c2nc(C)cs2)C(C)C)cc1,1.0,0.975
CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](C(=O)O)C(C)C)cc1,1.0,0.9865529289315002
