smiles,qed,sa,is_novel,has_fragment,passes_medchem
Cc1nc(=O)c2cc(CN(C)c3sc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)ccc2[nH]1,0.36637122382944676,3.3601841163174786,true,true,true
CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)s1,0.35080628084561377,3.2052771678812997,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.32013468453883254,3.4184188605600516,true,true,true
C=CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)s1,0.30299071116400184,3.348494310641886,true,true,true
CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.34308052352107926,3.356143947255772,true,true,true
C=CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.2968375371827452,3.494546192802277,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.31160089474594116,3.5926874366647983,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cc(F)c(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1,0.3017972145338055,3.3913600307713487,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.32389636885363987,3.125851709442231,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c1,0.3035043292974204,3.2147860545085347,true,true,true
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,0.3841017979963657,2.881301512767182,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.32389636885363987,3.098507696753888,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CSCCC(=O)O)C(=O)O)cc1,0.207216870389053,3.295255504710078,true,true,true
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(C(=O)O)C(C)CC(=O)O)cc3)cc2c(=O)[nH]1,0.3742594278116925,3.2813445170720783,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1,0.29883708700628125,3.1645000265365066,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CC(=O)NCC(=O)O)C(=O)O)cc1,0.22711955075547813,3.2555766202237653,true,true,true
C#CCN(Cc1cc(Cl)c2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.3035043292974204,3.264809830732312,true,true,true
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc3)cc2c(=O)[nH]1,0.35507381844976216,3.020213786910297,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,0.2074919161595707,3.3113594810819613,true,true,true
Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,0.326710948330142,2.881360853426523,true,true,true
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)c1,0.26360412071212125,3.2849077328302148,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)C(=O)NC(CSCC(N)=O)c1cccc([N+](=O)[O-])c1,0.21461354581131298,3.5162795649980456,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](c2nc(C)cs2)C(C)C)cc1,0.34114423000699967,3.335425298432927,true,true,true
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](c2nc(C)cs2)C(C)C)cc1,0.34114423000699967,3.335425298432927,true,true,true
CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](C(=O)O)C(C)C)cc1,0.49979613273128043,2.8406794986299797,true,true,true
