config_file,target_id,pdb_id,doc_id,assay_id,fragment_smiles,status,n_compounds_total,n_compounds_standardized,n_compounds_matched_2d,n_compounds_docked,n_conformers_docked,n_valid_poses,runtime_seconds,success_rate_2d,success_rate_rmsd,workflow_key,best_any_n_points,best_any_pearson,best_any_spearman,best_any_r2,rmsd_n_points,rmsd_pearson,rmsd_spearman,rmsd_r2,pct_failed_to_match
generated_configs/CHEMBL4523304_6I18_CHEMBL4400540_CHEMBL4401536.yaml,CHEMBL4523304,6I18,CHEMBL4400540,CHEMBL4401536,NCC1=CC=CC=C1,SUCCESS,22,22,22,26,0,26,54.59740233421326,100.0,100.0,CHEMBL4523304_6I18_CHEMBL4400540_CHEMBL4401536,22.0,-0.7484846395125854,-0.7739474736777354,0.5602292555862849,22.0,-0.750912742899754,-0.7756428679245649,0.563869947449232,0.0
generated_configs/CHEMBL260_3NWW_CHEMBL1255531_CHEMBL1259851.yaml,CHEMBL260,3NWW,CHEMBL1255531,CHEMBL1259851,NC1=NC=C(C2=NC=NC=C2)S1,SUCCESS,26,26,26,84,0,64,88.41533493995667,100.0,76.19,CHEMBL260_3NWW_CHEMBL1255531_CHEMBL1259851,26.0,-0.3934525219389231,-0.5765416368379689,0.1548048870200988,26.0,-0.4993530690193887,-0.7710229894082886,0.2493534875390824,0.0
generated_configs/CHEMBL261_3W6H_CHEMBL4819110_CHEMBL4822376.yaml,CHEMBL261,3W6H,CHEMBL4819110,CHEMBL4822376,CS(N)(=O)=O,SUCCESS,32,32,23,43,0,34,48.14768385887146,71.88,79.07,CHEMBL261_3W6H_CHEMBL4819110_CHEMBL4822376,23.0,-0.7648413757631538,-0.7101556925472041,0.5849823300792738,21.0,-0.7849863452370107,-0.7658331030737048,0.6162035622085594,28.125
generated_configs/CHEMBL4523304_6I10_CHEMBL4400540_CHEMBL4401536.yaml,CHEMBL4523304,6I10,CHEMBL4400540,CHEMBL4401536,NCC1=CC=CC=C1,SUCCESS,22,22,22,26,0,26,53.19247150421143,100.0,100.0,CHEMBL4523304_6I10_CHEMBL4400540_CHEMBL4401536,22.0,-0.7394215505093815,-0.7655368453408833,0.5467442293576978,22.0,-0.7421608552564083,-0.7570622677171834,0.5508027350749234,0.0
generated_configs/CHEMBL280_3WV3_CHEMBL3352418_CHEMBL3373425.yaml,CHEMBL280,3WV3,CHEMBL3352418,CHEMBL3373425,OC1=CC=CC=C1,SUCCESS,32,32,32,105,0,92,64.09551787376404,100.0,87.62,CHEMBL280_3WV3_CHEMBL3352418_CHEMBL3373425,32.0,-0.818115314792082,-0.7769731708226336,0.6693126682973474,32.0,-0.8117698677705458,-0.7542396471836514,0.6589703182202095,0.0
generated_configs/CHEMBL2345_4NUS_CHEMBL3603810_CHEMBL3607765.yaml,CHEMBL2345,4NUS,CHEMBL3603810,CHEMBL3607765,OC1=CC=CC=C1,SUCCESS,35,35,35,55,0,43,47.08535957336426,100.0,78.18,CHEMBL2345_4NUS_CHEMBL3603810_CHEMBL3607765,35.0,-0.6328354629695828,-0.6262545673968046,0.4004807231919262,27.0,-0.7661863177442085,-0.7472864262512344,0.5870414734984293,0.0
generated_configs/CHEMBL205_6YMA_CHEMBL3763133_CHEMBL3766368.yaml,CHEMBL205,6YMA,CHEMBL3763133,CHEMBL3766368,CS(N)(=O)=O,SUCCESS,25,25,25,25,0,25,31.365301370620728,100.0,100.0,CHEMBL205_6YMA_CHEMBL3763133_CHEMBL3766368,25.0,-0.5766269220986698,-0.747161837961123,0.3324986072889854,25.0,-0.5694536407424334,-0.747161837961123,0.3242774489548124,0.0
generated_configs/CHEMBL214_8FYX_CHEMBL1138077_CHEMBL868481.yaml,CHEMBL214,8FYX,CHEMBL1138077,CHEMBL868481,CN1CCN(CCC)CC1,SUCCESS,26,26,25,25,0,23,61.188411235809326,96.15,92.0,CHEMBL214_8FYX_CHEMBL1138077_CHEMBL868481,25.0,-0.7302288770229095,-0.7002136431739817,0.5332342128381395,23.0,-0.7658136778801855,-0.7381746501321305,0.5864705892283766,3.8461538461538463
generated_configs/CHEMBL2971_4D0W_CHEMBL3400063_CHEMBL3404501.yaml,CHEMBL2971,4D0W,CHEMBL3400063,CHEMBL3404501,CC1=CC=C(Cl)C=C1,SUCCESS,25,25,25,73,0,63,48.879162073135376,100.0,86.3,CHEMBL2971_4D0W_CHEMBL3400063_CHEMBL3404501,25.0,-0.7174027654719406,-0.7511556797671798,0.5146667279067882,21.0,-0.7274096366288374,-0.737731595670585,0.5291247794604973,0.0
generated_configs/CHEMBL4282_4EJN_CHEMBL2176970_CHEMBL2186223.yaml,CHEMBL4282,4EJN,CHEMBL2176970,CHEMBL2186223,C1=CN=CC(C2=NC3=CC=CN=C3N2)=C1,SUCCESS,27,27,27,106,0,101,100.2766764163971,100.0,95.28,CHEMBL4282_4EJN_CHEMBL2176970_CHEMBL2186223,27.0,-0.7939617133556088,-0.7214165860267993,0.630375202274574,27.0,-0.8022822623771089,-0.7345443529329154,0.6436568285249321,0.0
