molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
3f,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C=C1)C(=O)N[C@@]1(CCC[C@@H](C1)C(O)=O)C(O)=O,6.537602002101044,-16.991999999999997,0.8700247357769276,0.8700247357769276,0.8700247357769276
3g,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C=C1)C(=O)N[C@@]1(CC[C@@H](C1)C(O)=O)C(O)=O,7.221848749616356,-17.982,0.9813357319541259,0.9813357319541259,0.9813357319541259
3h,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)N2CCCS(=N)(=O)CC2)C=C1,4.619788758288394,-9.254,0.0,0.0,0.0
4f,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,7.187086643357144,-17.098,0.8819428828423652,0.8819428828423652,0.8819428828423652
6a,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)OC)C(=O)OC)cc1,4.847711655616944,-13.447999999999999,0.4715538565324935,0.4715538565324935,0.4715538565324935
6b,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)OC)C(=O)OC)cc1,5.106238237942057,-12.975999999999999,0.4184843714863951,0.4184843714863951,0.4184843714863951
6c,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)OCC)C(=O)OCC)cc1,5.0,-13.144,0.4373735102316167,0.4373735102316167,0.4373735102316167
AZ3,Cc1nc(=O)c2cc(CN(C)c3sc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)ccc2[nH]1,7.161150909262744,-17.252,0.8992579266921515,0.8992579266921515,0.8992579266921515
AZ4,CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)s1,7.275724130399211,-16.86,0.8551832696199682,0.8551832696199682,0.8551832696199682
AZ5,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,7.309803919971486,-17.206,0.8940859006071505,0.8940859006071505,0.8940859006071505
AZ6,C=CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)s1,7.7447274948966935,-17.148,0.8875646503260621,0.8875646503260621,0.8875646503260621
AZ7,CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,7.055517327849831,-17.552,0.9329885315943328,0.9329885315943328,0.9329885315943328
AZ8,C=CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,7.200659450546418,-16.642,0.8306723633910498,0.8306723633910498,0.8306723633910498
AZ9,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,7.366531544420413,-17.098,0.8819428828423652,0.8819428828423652,0.8819428828423652
AZ10,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cc(F)c(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1,7.040958607678906,-17.166,0.8895884866201931,0.8895884866201931,0.8895884866201931
AZ11,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,7.102372908709558,-18.024,0.9860580166404315,0.9860580166404315,0.9860580166404315
AZ12,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c1,7.130768280269024,-17.31,0.90577917697324,0.90577917697324,0.90577917697324
AZ13,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,7.142667503568731,-16.65,0.8315718461884412,0.8315718461884412,0.8315718461884412
AZ14,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,7.187086643357144,-16.9,0.8596806836069255,0.8596806836069255,0.8596806836069255
AZ15,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CSCCC(=O)O)C(=O)O)cc1,7.229147988357855,-17.478,0.9246683157184618,0.9246683157184618,0.9246683157184618
AZ16,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(C(=O)O)C(C)CC(=O)O)cc3)cc2c(=O)[nH]1,7.236572006437063,-17.598,0.9381605576793339,0.9381605576793339,0.9381605576793339
AZ18,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1,7.275724130399211,-17.308,0.9055543062738921,0.9055543062738921,0.9055543062738921
AZ19,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CC(=O)NCC(=O)O)C(=O)O)cc1,7.229147988357855,-15.734,0.7285810658871147,0.7285810658871147,0.7285810658871147
AZ20,C#CCN(Cc1cc(Cl)c2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,7.318758762624412,-17.741999999999997,0.9543512480323807,0.9543512480323807,0.9543512480323807
AZ21,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc3)cc2c(=O)[nH]1,7.327902142064282,-16.932,0.8632786147964915,0.8632786147964915,0.8632786147964915
AZ22,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,7.327902142064282,-17.163999999999998,0.8893636159208449,0.8893636159208449,0.8893636159208449
AZ23,Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,7.443697499232712,-17.497999999999998,0.92691702271194,0.92691702271194,0.92691702271194
AZ24,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)c1,7.455931955649724,-16.508,0.8156060265347421,0.8156060265347421,0.8156060265347421
AZ25,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)C(=O)NC(CSCC(N)=O)c1cccc([N+](=O)[O-])c1,5.958607314841775,-10.808,0.1747245333932988,0.1747245333932988,0.1747245333932988
AZ26,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](c2nc(C)cs2)C(C)C)cc1,5.327902142064283,-11.004000000000001,0.1967618619293907,0.1967618619293907,0.1967618619293907
AZ27,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](c2nc(C)cs2)C(C)C)cc1,5.200659450546419,-10.574,0.14841466156959746,0.14841466156959746,0.14841466156959746
AZ28,CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](C(=O)O)C(C)C)cc1,5.537602002101044,-14.59,0.5999550258601302,0.5999550258601302,0.5999550258601302
