model,validity_mean,uniqueness_mean,internal_diversity_mean,scaffold_diversity_mean,mean_qed_mean,mean_sa_mean,fragment_incorporation_mean,fraction_medchem_pass_mean,fraction_pains_free_mean,fraction_bms_free_mean,fraction_lipinski_mean,novelty_mean,nonidenticality_mean,effective_novelty_mean,snn_mean,effective_hit_rate_mean,effective_medchem_pass_mean,mean_qed_novel_mean,mean_sa_novel_mean,avg_top_1_mean,avg_top_10_mean,avg_top_100_mean,avg_top_1_norm_mean,avg_top_10_norm_mean,avg_top_100_norm_mean,auc_top_10_mean,valid_pose_rate_mean,oracle_efficiency_80_mean,oracle_efficiency_100_mean,avg_top_1_filtered_mean,avg_top_10_filtered_mean,avg_top_100_filtered_mean,auc_top_10_filtered_mean,n_molecules_total_mean,n_molecules_attempted_mean,total_gen_time_mean,avg_gen_time_per_mol_mean,total_eval_time_mean,avg_eval_time_per_mol_mean,total_time_mean,avg_time_per_mol_mean
A2C,0.5005989949598196,0.9024464214325636,0.6813763575107438,0.6665522432791686,0.5619575033359835,2.9219960571221866,0.9279761012350916,0.9396327197018524,0.989125166036633,0.9742684072381069,0.8291582590967178,0.9088952707518683,0.0009603056701511139,0.0003087532563801281,0.4000685274211856,0.38702925599935334,0.9575546561474292,0.5831714775747441,2.8564406258969703,1.228977611217638,0.9866354714671682,0.6621718837847953,1.1139088430216737,0.8607023322241203,0.5323166188177618,0.7997498146845666,1.0,277.8,628.7428571428571,1.228977611217638,0.9866354714671682,0.6621718837847953,0.8008992954067615,1017.8285714285713,423.7142857142857,68.28114285714285,0.06701428571428572,833.8134285714286,2.8294400000000004,902.0948571428572,2.8964542857142854
AHC,0.4428099715364061,0.9359700842976488,0.684855180923624,0.680394091377192,0.5494715140800661,2.9000270759225857,0.9249987671735287,0.9289629228849909,0.9903425304886275,0.9659910535646193,0.8147447044459952,0.9188830963954578,0.0008650709665092442,0.0004751547199338071,0.38865477311537816,0.3556151575860866,0.9447724953171821,0.5747976933680811,2.850648763326599,1.201292663131694,0.9751091693784512,0.6452366601290053,1.1020255212784664,0.8767957470312971,0.5444975979505606,0.7632104891676733,0.9142857142857144,383.0,693.9714285714286,1.201292663131694,0.9751091693784512,0.6452366601290053,0.7643845625829492,1018.4857142857143,361.97142857142853,74.54485714285714,0.07327428571428572,1358.7931428571428,6.587817142857143,1433.3374285714287,6.661085714285714
GenMol,1.0,0.6337714285714285,0.73930403687508,0.4688609365805484,0.6098656851521274,2.8740445431599775,0.6010058419306924,0.8613687226917515,0.993065022960382,0.8807747360651962,0.8406818367160822,0.9978117696162612,0.016457142857142854,0.01565714285714286,0.35443180350973896,0.3733142857142857,0.8608660222729895,0.6097652078337074,2.8750599142840145,1.1541536683088773,0.9711368974226309,0.6754693237679581,1.1541536683088773,0.9711368974226309,0.6754693237679581,0.7305096414220399,1.0,461.4857142857143,777.4857142857144,1.1541536683088773,0.9711368974226309,0.6754693237679581,0.7308970451856974,1000.0,539.342857142857,408.58971428571425,0.4085885714285714,1025.1205714285716,2.2122057142857146,1433.7105714285715,2.6207885714285717
Libinvent,1.0,0.9988571428571429,0.628855394103531,0.6103973200636478,0.4760152980832854,2.9267311391852,0.9614387874811287,0.8835548162804957,0.9948226346328314,0.959231614369557,0.5622200008847463,1.0,0.00011472081218274112,0.00011472081218274112,0.33085511487699965,0.9603112400290066,0.8835548162804957,0.4760152980832854,2.9267311391852,1.6387103004728627,1.4305466675895797,1.0839435946813076,1.6387103004728627,1.4305466675895797,1.064378518130937,1.0774661107195962,1.0,419.9142857142857,380.3714285714286,1.6387103004728627,1.4305466675895797,1.0839435946813076,1.0780562707492674,997.8571428571429,849.0857142857142,18.509999999999998,0.018134285714285714,2465.284857142857,2.8975771428571426,2483.7942857142857,2.915702857142857
PPO,0.5281037763519643,0.8628721042479494,0.6649090948861935,0.6045487697030353,0.5732689139181166,2.9608662670992594,0.9593694804775474,0.9413298258661642,0.9962995990785137,0.9734249009585589,0.8080262467573156,0.8975705278686872,0.0009724004993872446,0.0004755326872029859,0.40285081360693803,0.43092222282801645,0.9484106770118849,0.6024201183450554,2.8964594528397307,1.1681369128551804,0.9737087215429264,0.6684852323000255,1.1304097770254444,0.904400921121282,0.5948599709550956,0.8104842183796235,0.9714285714285714,252.34285714285713,650.9714285714286,1.1681369128551804,0.9737087215429264,0.6684852323000255,0.8118560504092439,1021.0,474.19999999999993,61.43171428571428,0.05992000000000001,1042.974,3.2702714285714287,1104.4051428571427,3.3301914285714287
PPOD,0.5461443361084145,0.8850485749099205,0.6759595196654564,0.6354074959459852,0.5776684791891119,2.9793376596374195,0.9509993368536414,0.9468835165494581,0.9918755733231982,0.9771795450139386,0.8102989154614983,0.9102722812690721,0.0005978953117955959,0.000398109804217135,0.3984519813748909,0.44174248066647875,0.9638372673741881,0.6022868436653005,2.9470970210802316,1.2081657576068918,0.9912118002034738,0.6909577391970184,1.1434935359424003,0.912334177474832,0.6084283182931439,0.8021019101548698,0.9428571428571428,306.36428571428576,657.8142857142857,1.2081657576068918,0.9912118002034738,0.6909577391970184,0.803489957745757,1020.3857142857144,488.65714285714284,81.74842857142856,0.08016500000000001,1582.3446428571428,5.391221428571429,1664.0924285714286,5.4713899999999995
REINFORCE,0.5498298776834456,0.9120004642747055,0.6796969240340867,0.6684008115667952,0.5827763578971833,2.8757560873610055,0.9286106990910951,0.9355146456594492,0.9888821608052404,0.9698471397650911,0.8638472898157162,0.8981360869416122,0.0004965877598056501,0.0003637955511964738,0.40779331791705686,0.42427399014421024,0.9523526639753227,0.6126368887646174,2.787179528827512,1.1641283006843053,0.9361706943354801,0.6434605212102111,1.1173659274286079,0.8730645804914886,0.5751643634301983,0.761849755893893,0.9428571428571428,311.74285714285713,683.6,1.1641283006843053,0.9361706943354801,0.6434605212102111,0.7630845220020116,1022.5714285714287,470.54285714285714,56.556571428571424,0.055317142857142856,907.5717142857144,3.910668571428572,964.1274285714286,3.9659771428571426
REINVENT,0.5479741953815495,0.8984959043658174,0.6765056510453897,0.64845271050931,0.5958598145159535,2.834645131184463,0.9278076868114218,0.9553582205944836,0.9932423969376372,0.9734224263424636,0.8827819940438164,0.9621375061596614,0.0005603325353750273,0.00039148869417168135,0.36632765320124816,0.42129844878959466,0.962567765832513,0.6046864170868667,2.8079941601290055,1.1482501966119725,0.9592392563089948,0.6631660705534248,1.0485011754293603,0.8501036273560784,0.5528821402568266,0.7593534347646205,1.0,241.91428571428568,681.0,1.1482501966119725,0.9592392563089948,0.6631660705534248,0.7608785312404386,1023.4857142857142,467.54285714285726,74.72371428571428,0.07294857142857143,1454.0394285714287,5.577414285714285,1528.764,5.650362857142858
invirtuogen,0.4140893454551016,0.5234142247371395,0.6706632083534357,0.579092895682135,0.5882756591097339,3.167209047134888,0.8024745025987492,0.8931804344525657,0.9848067723968811,0.9109009082639279,0.8810990311766894,1.0,0.541291378240985,0.05761910503758754,0.33115779139828244,0.1775527703311091,0.8931804344525657,0.5882756591097339,3.167209047134888,0.8469896470854904,0.6867678696614109,0.33494250400908615,0.8469896470854904,0.6867678696614109,0.16359745024860078,0.4964152822940822,1.0,339.0,844.75,0.8469896470854904,0.6867678696614109,0.33494250400908615,0.4997190237731898,956.2857142857143,250.8095238095238,76.7052380952381,0.09545119047619048,416.182619047619,2.4838464285714283,492.88869047619056,2.579277380952381
