model,validity_mean,uniqueness_mean,internal_diversity_mean,scaffold_diversity_mean,mean_qed_mean,mean_sa_mean,fragment_incorporation_mean,fraction_medchem_pass_mean,fraction_pains_free_mean,fraction_bms_free_mean,fraction_lipinski_mean,novelty_mean,nonidenticality_mean,effective_novelty_mean,snn_mean,effective_hit_rate_mean,effective_medchem_pass_mean,mean_qed_novel_mean,mean_sa_novel_mean,avg_top_1_mean,avg_top_10_mean,avg_top_100_mean,avg_top_1_norm_mean,avg_top_10_norm_mean,avg_top_100_norm_mean,auc_top_10_mean,valid_pose_rate_mean,oracle_efficiency_80_mean,oracle_efficiency_100_mean,avg_top_1_filtered_mean,avg_top_10_filtered_mean,avg_top_100_filtered_mean,auc_top_10_filtered_mean,n_molecules_total_mean,n_molecules_attempted_mean,total_gen_time_mean,avg_gen_time_per_mol_mean,total_eval_time_mean,avg_eval_time_per_mol_mean,total_time_mean,avg_time_per_mol_mean
A2C,0.501354110719879,0.8511325906466708,0.6620360193344181,0.6481561040403128,0.5394964197871488,2.854771560389024,0.9054039018075951,0.8967635217691132,0.9573113867007956,0.9309386200021745,0.8039000434242113,0.8933242971168932,0.0005928331940504435,0.0003968253968253968,0.3828864951605449,0.384031437987114,0.9035193614398772,0.556897327553793,2.8107459227311686,0.8104946664851017,0.7291500796950706,0.562645336756321,0.9032916402384771,0.8217378264110892,0.6049750407007117,0.6717912444967027,0.8571428571428571,240.94285714285712,693.4,0.8104946664851017,0.7291500796950706,0.562645336756321,0.6734416202004109,1009.2285714285715,433.9714285714285,98.34085714285713,0.09769142857142857,849.482,2.617657142857143,947.8231428571431,2.7153371428571424
AHC,0.44756026965112283,0.9200112007471217,0.6838827359826364,0.6797494970699558,0.5643695895784685,2.8792617461303753,0.9160440047511454,0.9304483816322355,0.9870831053705588,0.9656671950259613,0.8516425218589241,0.9207194128433654,0.0005652157135629649,0.00033572535061502474,0.388682728310537,0.3402734782823951,0.9457818433018653,0.5898207877495565,2.8318549373390547,0.8171403438820998,0.7432871595231593,0.5724270024795778,0.8343030167370845,0.7517212040773834,0.5244812229897354,0.6303017677556121,0.9428571428571428,245.31428571428572,816.2,0.8171403438820998,0.7432871595231593,0.5724270024795778,0.6310848782273644,1048.3142857142857,360.6,48.98914285714285,0.04674285714285715,837.2754285714285,3.996385714285714,886.2651428571428,4.0431485714285715
GenMol,1.0,0.6350571428571428,0.7392627785203117,0.45792551290266836,0.6138230106625345,2.9141540728988993,0.5975050225564355,0.8665383801441024,0.9922626826426868,0.8775912712660159,0.8569023705721989,0.9981565461634746,0.015371428571428574,0.01442857142857143,0.33759076229225304,0.3730571428571428,0.8661512575998415,0.6137679260955226,2.915090140124104,0.9057459202827163,0.8519040375136518,0.6507006529578666,0.9744935781634199,0.9143248677921427,0.6687108995156684,0.6809116784421018,1.0,358.31428571428575,862.142857142857,0.9057459202827163,0.8519040375136518,0.6507006529578666,0.6813105637301872,1000.0,542.6285714285714,559.7991428571429,0.5597942857142858,1169.8128571428572,2.4260942857142855,1729.6114285714286,2.9858828571428577
InVirtuoGen,0.4402829268292683,0.48827013129259716,0.6748435203893972,0.5350798348049379,0.5854699461944313,3.1386848428063194,0.7907886626855848,0.8792265532385962,0.9861903894006684,0.8945482811523088,0.8696482890876592,1.0,0.5873170524371474,0.062400000000000004,0.328346664306251,0.1733693379790941,0.8792265532385962,0.5854699461944313,3.1386848428063194,0.7826577989046933,0.6488459607565756,0.313605963472694,0.822665413241115,0.6674500877861116,0.1782126201156587,0.511737506078594,1.0,288.9428571428571,894.342857142857,0.7826577989046933,0.6488459607565756,0.313605963472694,0.5136062002379427,973.7714285714285,269.2857142857143,83.47142857142856,0.09439428571428572,583.5814285714285,2.6233028571428574,667.0528571428571,2.7176971428571433
LibINVENT,1.0,0.9987142857142857,0.6309667319940285,0.6451772394427222,0.4548978718354176,2.9583194407332547,0.9672970154434847,0.8686664787064408,0.994406017684218,0.9626421096878806,0.5100923205789548,1.0,0.00005714285714285715,0.00005714285714285715,0.3265507690512483,0.9660349528643944,0.8686664787064408,0.4548978718354176,2.9583194407332547,0.9931061068457065,0.9725625622409971,0.9183393226214412,1.1743034128789946,1.1342454438826832,1.0955610056060163,0.8128401731659313,1.0,243.42857142857142,382.2285714285714,0.9931061068457065,0.9725625622409971,0.9183393226214412,0.8131793030836743,997.8571428571429,838.8285714285714,17.67057142857143,0.01728857142857143,2514.6568571428575,2.9957828571428573,2532.328571428571,3.0130685714285717
PPO,0.532868772471087,0.8387289023882387,0.663188301659584,0.5748474684845545,0.5718059103008164,2.935147123921719,0.9573747866304088,0.9394763601778006,0.9944082658467096,0.9706119827670999,0.8161606230630182,0.9065661152544396,0.000911348922277906,0.000696140026199961,0.40157921576650574,0.4170063196781552,0.957630623655926,0.595548830886672,2.8835807833592253,0.8195387456270902,0.7326030086755881,0.5563665993221262,0.8473938916468821,0.7297232185293431,0.5138445145100716,0.65424941535936,0.9714285714285714,154.68571428571428,769.6285714285714,0.8195387456270902,0.7326030086755881,0.5563665993221262,0.6556520087237117,1028.1999999999998,478.54285714285714,71.86914285714285,0.06963142857142858,1131.3074285714285,3.70802,1203.176,3.7776657142857144
PPOD,0.5448889835567138,0.8691326658092222,0.6720799602675182,0.6275838449246987,0.5823294057484872,2.9496712256070845,0.9354165988088966,0.9486481164146381,0.9957683795025526,0.9750713766141459,0.8196626395091421,0.9033095653369617,0.0011352595941938038,0.0006987347780461525,0.4068449222532625,0.4274783623061068,0.967357788717379,0.6098710036747129,2.909574589078038,0.8336365771096615,0.7566993233701391,0.5971398354612646,0.8088452329840357,0.7125119828353822,0.502860367245264,0.6654567386405585,1.0,166.71428571428572,747.9142857142857,0.8336365771096615,0.7566993233701391,0.5971398354612646,0.6671387342333519,1022.9142857142858,471.85714285714283,56.64942857142859,0.05537999999999999,767.8202857142857,2.3704428571428573,824.4711428571427,2.4258085714285715
REINFORCE,0.5221488243259093,0.9067594157979707,0.6813286160277655,0.6751681848441343,0.5752315415918836,2.901604641653986,0.924052594292803,0.932233937306428,0.9826240711239863,0.9730223887579664,0.8640036708076215,0.8958668747805237,0.00038598948012888185,0.0002798111709966061,0.40869178928269434,0.38880035514255207,0.9528953540435469,0.6067834557297366,2.812661249137482,0.8147344261402055,0.7407934990437756,0.5788704066162813,0.8462315901652179,0.7574388380629558,0.547572466635102,0.6272186686061543,0.9142857142857144,272.0,815.6000000000001,0.8147344261402055,0.7407934990437756,0.5788704066162813,0.6280026872415839,1035.8857142857144,438.6000000000001,40.91085714285714,0.03933428571428572,566.6574285714286,2.057302857142857,607.5688571428573,2.0966428571428573
REINVENT,0.5360388769763068,0.8968258239747176,0.6745192981286307,0.6393667200775883,0.5911371012871126,2.853063181529357,0.9220154049506526,0.9419443820741844,0.9805120010453832,0.9724715814086625,0.8785703009695961,0.9633803599173769,0.00033933654962390973,0.0002517172854865692,0.36477016674420104,0.3999655835207688,0.9488760467320241,0.5996131011196763,2.8273008702960807,0.8190766851116683,0.7452250327648257,0.570707191487598,0.838904271581376,0.757846133072056,0.537275055978496,0.6324932671601592,0.9142857142857144,268.2,809.8285714285713,0.8190766851116683,0.7452250327648257,0.570707191487598,0.633302975373943,1034.1142857142856,448.54285714285714,39.41885714285714,0.03813142857142857,642.7102857142858,2.387997142857143,682.1297142857144,2.4261314285714284
