model,validity_mean,uniqueness_mean,fragment_incorporation_mean,novelty_mean,nonidenticality_mean,effective_novelty_mean,effective_hit_rate_mean,effective_medchem_pass_mean,avg_top_10_mean,avg_top_100_mean,mean_qed_novel_mean,mean_sa_novel_mean,fraction_lipinski_mean,fraction_pains_free_mean,avg_gen_time_per_mol_mean,avg_eval_time_per_mol_mean,avg_time_per_mol_mean
A2C,0.501354110719879,0.8511325906466708,0.9054039018075951,0.8933242971168932,0.0005928331940504435,0.0003968253968253968,0.384031437987114,0.9035193614398772,0.7291500796950706,0.562645336756321,0.556897327553793,2.8107459227311686,0.8039000434242113,0.9573113867007956,0.09769142857142857,2.617657142857143,2.7153371428571424
AHC,0.44756026965112283,0.9200112007471217,0.9160440047511454,0.9207194128433654,0.0005652157135629649,0.00033572535061502474,0.3402734782823951,0.9457818433018653,0.7432871595231593,0.5724270024795778,0.5898207877495565,2.8318549373390547,0.8516425218589241,0.9870831053705588,0.04674285714285715,3.996385714285714,4.0431485714285715
GenMol,1.0,0.6350571428571428,0.5975050225564355,0.9981565461634746,0.015371428571428574,0.01442857142857143,0.3730571428571428,0.8661512575998415,0.8519040375136518,0.6507006529578666,0.6137679260955226,2.915090140124104,0.8569023705721989,0.9922626826426868,0.5597942857142858,2.4260942857142855,2.9858828571428577
InVirtuoGen,0.4402829268292683,0.48827013129259716,0.7907886626855848,1.0,0.5873170524371474,0.062400000000000004,0.1733693379790941,0.8792265532385962,0.6488459607565756,0.313605963472694,0.5854699461944313,3.1386848428063194,0.8696482890876592,0.9861903894006684,0.09439428571428572,2.6233028571428574,2.7176971428571433
LibINVENT,1.0,0.9987142857142857,0.9672970154434847,1.0,0.00005714285714285715,0.00005714285714285715,0.9660349528643944,0.8686664787064408,0.9725625622409971,0.9183393226214412,0.4548978718354176,2.9583194407332547,0.5100923205789548,0.994406017684218,0.01728857142857143,2.9957828571428573,3.0130685714285717
PPO,0.532868772471087,0.8387289023882387,0.9573747866304088,0.9065661152544396,0.000911348922277906,0.000696140026199961,0.4170063196781552,0.957630623655926,0.7326030086755881,0.5563665993221262,0.595548830886672,2.8835807833592253,0.8161606230630182,0.9944082658467096,0.06963142857142858,3.70802,3.7776657142857144
PPOD,0.5448889835567138,0.8691326658092222,0.9354165988088966,0.9033095653369617,0.0011352595941938038,0.0006987347780461525,0.4274783623061068,0.967357788717379,0.7566993233701391,0.5971398354612646,0.6098710036747129,2.909574589078038,0.8196626395091421,0.9957683795025526,0.05537999999999999,2.3704428571428573,2.4258085714285715
REINFORCE,0.5221488243259093,0.9067594157979707,0.924052594292803,0.8958668747805237,0.00038598948012888185,0.0002798111709966061,0.38880035514255207,0.9528953540435469,0.7407934990437756,0.5788704066162813,0.6067834557297366,2.812661249137482,0.8640036708076215,0.9826240711239863,0.03933428571428572,2.057302857142857,2.0966428571428573
REINVENT,0.5360388769763068,0.8968258239747176,0.9220154049506526,0.9633803599173769,0.00033933654962390973,0.0002517172854865692,0.3999655835207688,0.9488760467320241,0.7452250327648257,0.570707191487598,0.5996131011196763,2.8273008702960807,0.8785703009695961,0.9805120010453832,0.03813142857142857,2.387997142857143,2.4261314285714284
