id,smiles,ic50
AZ10,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cc(F)c(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1,0.091
AZ11,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.079
AZ12,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c1,0.074
AZ13,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,0.072
AZ14,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.065
AZ15,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CSCCC(=O)O)C(=O)O)cc1,0.059
AZ16,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(C(=O)O)C(C)CC(=O)O)cc3)cc2c(=O)[nH]1,0.058
AZ18,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1,0.053
AZ19,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CC(=O)NCC(=O)O)C(=O)O)cc1,0.059
AZ20,C#CCN(Cc1cc(Cl)c2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.048
AZ21,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc3)cc2c(=O)[nH]1,0.047
AZ22,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(N)c1,0.047
AZ23,Cc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)cc2c(=O)[nH]1,0.036
AZ24,C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(O)c1,0.035
AZ25,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)C(=O)NC(CSCC(N)=O)c1cccc([N+](=O)[O-])c1,1.1
AZ26,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](c2nc(C)cs2)C(C)C)cc1,4.7
AZ27,C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](c2nc(C)cs2)C(C)C)cc1,6.3
AZ28,CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](C(=O)O)C(C)C)cc1,2.9
