molecule_chembl_id,canonical_smiles,pchembl_value,valid_score_run1,best_any_score_run1,valid_score_run2,best_any_score_run2,valid_score_run3,best_any_score_run3,valid_score_run4,best_any_score_run4,valid_score_run5,best_any_score_run5,mean_valid_score,std_valid_score
CHEMBL4582312,O=c1c(-c2ccc3ncccc3c2)c(Nc2cc[nH]n2)[nH]c2c(-c3ccccc3)c(-c3ccccc3)nn12,8.15,-9.2,-9.2,-9.23,-9.23,-9.23,-9.23,-9.42,-9.42,-8.7,-8.7,-9.156,0.24104771311920828
CHEMBL4859703,Cc1cc(=O)n2nc(-c3ccccc3)c(-c3ccccc3)c2[nH]1,5.266666666666667,-6.57,-6.57,-6.58,-6.58,-6.57,-6.57,-6.56,-6.56,-6.57,-6.57,-6.57,0.006324555320336905
CHEMBL4541968,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1cn[nH]c1,5.88,-7.14,-7.14,-7.17,-7.17,-7.04,-7.04,-7.01,-7.02,-7.1,-7.1,-7.091999999999999,0.059799665550904185
CHEMBL4522713,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1ccccc1,5.87,-7.62,-7.62,-7.62,-7.62,-7.53,-7.53,-7.62,-7.62,-7.54,-7.54,-7.586,0.041761226035642175
CHEMBL4483464,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1ccc2ncccc2c1,7.28,-8.62,-8.62,-8.51,-8.51,-8.47,-8.47,-8.67,-8.67,-8.69,-8.69,-8.591999999999999,0.0872696969170854
CHEMBL4561247,Cc1[nH]c2c(C3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1ccc2ncccc2c1,7.18,-8.98,-8.98,-8.99,-8.99,-8.98,-8.98,-8.98,-8.98,-8.97,-8.97,-8.98,0.006324555320336624
CHEMBL4866030,Cc1cc(=O)n2nc(-c3ccco3)c(-c3ccccc3)c2[nH]1,5.82,-5.9,-5.9,-5.89,-5.89,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.898000000000001,0.00400000000000027
CHEMBL4865666,Cc1cc(=O)n2nc(-c3ccccc3)c(-c3ccco3)c2[nH]1,5.44,-5.98,-5.98,-5.97,-5.97,-5.97,-5.97,-5.97,-5.97,-5.98,-5.98,-5.973999999999999,0.004898979485566686
CHEMBL4521249,O=c1c(-c2ccc3ncccc3c2)c(Nc2cc[nH]n2)[nH]c2c(C3=CCCCC3)c(-c3ccccc3)nn12,8.4,-9.98,-9.98,-10.08,-10.08,-10.08,-10.08,-10.11,-10.11,-10.1,-10.1,-10.07,0.0464758001544887
CHEMBL4582351,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1ccc2[nH]c(N)nc2c1,7.08,-7.72,-7.72,-8.13,-8.13,-7.89,-7.89,-8.08,-8.08,-8.11,-8.11,-7.986,0.15806327846783408
CHEMBL4865263,Cc1cc(=O)n2nc(-c3ccccc3)c(C3=CCCCC3)c2[nH]1,6.58,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,-6.88,0.0
CHEMBL4854483,Cc1cc(=O)n2nc(-c3cccc(F)c3)c(-c3ccccc3)c2[nH]1,5.72,-6.42,-6.42,-6.42,-6.42,-6.4,-6.4,-6.43,-6.43,-6.42,-6.42,-6.418000000000001,0.009797958971132503
CHEMBL4585665,COc1ccc(-c2c(Nc3ccon3)[nH]c3c(C4=CCCCC4)c(-c4ccccc4)nn3c2=O)cc1,8.0,-9.37,-9.37,-9.33,-9.33,-9.35,-9.35,-9.33,-9.33,-9.34,-9.34,-9.344,0.014966629547095446
