molecule_chembl_id,canonical_smiles,pchembl_value,valid_score_run1,best_any_score_run1,valid_score_run2,best_any_score_run2,valid_score_run3,best_any_score_run3,valid_score_run4,best_any_score_run4,valid_score_run5,best_any_score_run5,mean_valid_score,std_valid_score
CHEMBL249236,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN)cc3)ccc12,8.19,-11.33,-11.33,-11.23,-11.23,-11.36,-11.36,-11.03,-11.03,-11.18,-11.18,-11.226,0.11774548823628032
CHEMBL436640,O=c1[nH]ccc2c3[nH]c(-c4ccccc4)nc3c3ccc(F)cc3c12,5.97,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,-8.84,0.0
CHEMBL401156,C=Cc1c[nH]c(=O)c2c1cc(CCCN)c1ccc(-c3cn[nH]c3)cc12,8.44,-10.85,-10.85,-10.83,-10.83,-10.78,-10.9,-10.58,-10.78,-10.63,-10.84,-10.734,0.10892199043352052
CHEMBL249595,NCCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.77,-9.29,-9.29,-9.59,-9.59,-9.83,-9.83,-9.39,-9.39,-9.48,-9.48,-9.516,0.1856448221739568
CHEMBL250035,NCCCc1cc2c(-c3ccccc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.1,-12.85,-12.85,-12.67,-12.67,-12.7,-12.7,-12.26,-12.26,-12.37,-12.37,-12.569999999999999,0.2197271034715563
CHEMBL400350,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,8.62,-10.34,-10.34,-10.31,-10.31,-10.41,-10.41,-10.4,-10.4,-10.46,-10.46,-10.384,0.05314132102234585
CHEMBL249241,NCCCc1cc2c(-c3ccccc3O)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-12.25,-12.25,-12.15,-12.15,-12.25,-12.25,-11.24,-11.24,-11.63,-11.63,-11.904,0.4039603940982332
CHEMBL400661,O=c1[nH]ccc2cc(CO)c3ccc(Br)cc3c12,6.36,-8.01,-8.01,-8.01,-8.01,-8.02,-8.02,-8.02,-8.02,-8.02,-8.02,-8.016,0.004898979485566252
CHEMBL249834,NCCCc1cc2c(-c3cccc(F)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.43,-12.2,-12.2,-12.2,-12.2,-12.08,-12.08,-12.17,-12.17,-12.14,-12.14,-12.158,0.04489988864128695
CHEMBL400323,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.37,-10.54,-10.54,-10.43,-10.43,-10.59,-10.59,-10.56,-10.56,-10.63,-10.63,-10.55,0.06723094525588676
CHEMBL250628,O=c1[nH]ccc2cc(CCO)c3ccc(Br)cc3c12,6.11,-8.09,-8.09,-8.08,-8.08,-8.09,-8.09,-8.09,-8.09,-8.09,-8.09,-8.088,0.003999999999999915
CHEMBL248584,O=c1[nH]ccc2c3[nH]c(-c4cccnc4)nc3c3ccc(F)cc3c12,6.96,-8.66,-8.74,-8.66,-9.04,-8.66,-9.1,-8.66,-8.92,-8.66,-8.66,-8.66,0.0
CHEMBL250224,N#Cc1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,7.6,-9.47,-9.47,-9.76,-9.76,-9.37,-9.37,-9.44,-9.44,-9.66,-9.66,-9.540000000000001,0.14601369798755198
CHEMBL249597,NCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.96,-9.23,-9.23,-9.33,-9.33,-9.23,-9.23,-9.22,-9.22,-9.07,-9.07,-9.216,0.08333066662399859
CHEMBL248988,O=c1[nH]ccc2ccc3ccc(Cl)cc3c12,6.24,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,-7.45,0.0
CHEMBL249594,NCCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.92,-9.6,-9.6,-9.22,-9.22,-9.6,-9.6,-9.27,-9.27,-9.39,-9.39,-9.416,0.16007498243010965
CHEMBL249237,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN4CCOCC4)cc3)ccc12,9.22,-11.71,-11.71,-11.7,-11.7,-11.72,-11.72,-11.7,-11.7,-11.47,-11.47,-11.66,0.09528903399657256
CHEMBL399023,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.52,-7.68,-7.68,-7.76,-7.76,-7.69,-7.69,-7.69,-7.69,-7.68,-7.68,-7.7,0.03033150177620614
CHEMBL428580,Cn1cc(-c2ccc3c(CCCN)cc4cc[nH]c(=O)c4c3c2)cn1,8.04,-10.08,-10.08,-9.96,-9.96,-10.03,-10.03,-9.97,-9.97,-10.07,-10.07,-10.022,0.049558046773455176
CHEMBL249400,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.29,-8.01,-8.01,-8.02,-8.02,-8.02,-8.02,-8.02,-8.02,-8.01,-8.01,-8.016,0.004898979485566252
